Organisation Name	ID	Type	Membership Type	Guaranteed?	Network Member?	First Buyer Label	Membership Status	Money Status	Address	City	County	CountryName	Postcode	Language	LocalCurrencyId	Telephone1	Telephone2_tx	Fax	Email	Website	YearJoined	YearLeft	Publications_mm	FurtherInformation_mm	LastUpdatedOn_dt	OldId_tx	Username_tx	Email2_tx	Email3_tx	Telephone3_tx	ContactFullName_tx	ContactPosition_tx	ContactEmail	Comments	Website	PO/MO/NTO
Indo Riksakti	991	FTO Audit Due	FTO				Member	Pending	Jl. Ringroad Manding RT 06 Trirenggo Bantul 	Jogjakarta	Indonesia	Indonesia	riris@indorisakti.com			62-274-6462178			riris@indorisakti.com	PO		6/10/16						windu@indo-risakti.com			Riris Simanjuntak	Manager	riris@indorisakti.com			PO
Indonesian People's Handicraft Foundation (Pekerti)	224	GS SAR Due	FTO	Guaranteed	FFTI		Member	Paid 2018	"Jl. Waru No. 21 A, Rawamangun"	East Jakarta		Indonesia	13220	Bahasa	12	62 21 4786 3008	62 21 4786 7664	62 21 4786 4052	pekerti@pekerti.com	www.pekerti.org	1998			"Pekerti is now taking a more economic approach to its work with producers in order to face the crisis in the country at this time. What matters most is that producers are now receiving a higher income (due to the increasing cost of living/ food, etc.) It "	27-Feb-14	PEKERT	pekert	ukrumah@pekerti.com			Mochamad Ichwani	Director	iwan@pekerti.com			Int.
Integrated Development Trust (IDT)	871	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	28-4-403 Bangalore Highway	Anantapur Ramu		India	515001	"English, Spanish, Telegu"		08554 246051			handicrafts@rdt.co.in	www.indiaforindia.org	2014							responsible.idt@gmail.com	brenda.sheil@jacobswell.co.in 		Safia Begum	Assistant Director	handicrafts@rdt.co.in			PO
JW Productions	510	FTO Audit Due	FTO				Member	Paid 2018	"Oil Mill road, St Thomas Town PostShamanna Garden Oil Mill RoadAravind Nagar St Thomas Town Post"	Bangalore		India	560084			91 0 80 4210 1464			brenda.sheil@jacobswell.co.in	http://www.jacobswell.biz/	2008			"original membership help by Oasis India (2008), since their project is separated, the membership is transferred to JW Productions Pvt Ltd (Jacobs well). Transfer approved by board in March 2013."	9-Jan-14		ssnds	contact@jacobswell.biz		91 22 2847 2564	Brenda Sheil	Contact person	brenda.sheil@jacobswell.co.in			PO
KFTA	869	GS SAR Due	FTSO	Guaranteed			Member	Paid 2018	"21, 1Gill, Bukchonro, Jongno-gu "	Seoul		Korea				02 739 1201			info@fairtradekorea.net	http://fairtradekorea.dothome.co.kr/?page_id=5	2014							ullimft@naver.com			Chang Soon Park	Director	info@fairtradekorea.net			MO
KFTO	928	FTN in GS	FTN		KFTO		Member	Paid 2018	"KFTO Office, Seoul Social Economy Center, Tongil-Ro 684, Eunpyeong-Gu"	Seoul		Korea				82 70 7516 4772			fairtradeday@naver.com	www.kfto.com											Youngeun Lee	Secretariat	yelee418@gmail.com			NTO
Kumbeshwar Technical School (KTS)	170	GS SAR Due	FTO	Guaranteed	FTGN		Member	Paid 2018	Box 2181	Kathmandu		Nepal		Nepalese	5	977 1 5537484	977 1 5539216	977 1 5549118	kts@ntc.net.np	www.kumbeshwar.com	2002			Terminated - April 2013 due to unpaid fees	1-Oct-13	KUMTEC	kumtec	kts@wlink.com.np	kirankhadgi@gmail.com		Kiran Bahadur Khadgi	Director	kirankhadgi@excite.com			PO
Lanka Upcycles 	974	FTO PV Due	FTO				Member	Paid 2018	"Manalchenai, Komari, Ampara district, Eastern Province"	Komari		Sri Lanka				0094 777164254			riceandcarrybags@gmail.com												Hendrik Konzok	Director	riceandcarrybags@gmail.com			PO
Lao Sericulture	452	FTO Audit Due	FTO				Member	Pending	"Phontong RoadBox 4556"	Vientiane		Laos	1100	english		00856 21 263371	00856 20 224 9903	00856 21 560 598	info@mulberries.org	www.mulberries.org	2006				9-Jun-10		laoser	darrell@moondata.com	bobyvos@laosilkandcraft.com	00856 20 552 1408	Boby Vosinthavong		info@mulberries.org			PO
Last Forest Enterprises	816	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	"41/111E, Groves Hill Road, Kotagiri, The Nilgiris, Tamil NaduKotagiri – 643217"	"The Nilgiris, Tamilnadu"		India	643217			04266 272266		04266 272277	mathew@lastforest.in	http://lastforest.in/	2012				12-Jul-13			info@lastforest.in	tasnim@lastforest.in		Mathew J		mathew@lastforest.in			MO
Little Flower	930	Provisional SAR Overdue	FTO				Provisional	Paid 2018	"Little Flower Sunderpur, Raxaul, East Champaran"	East Champaran		India				06255 222558			bhattaraikabita@hotmail.com												Kabita Bhattarai		bhattaraikabita@hotmail.com			PO
Little Smile Organic	611	FTO Audit Overdue	FTO				Member	Paid 2018	Dikkapitiya Estate	"Lamasthota, Nikapotha"		Sri Lanka	94			94 71 3257094 /  94 768800329	0094 71 32 57094/ 0094 71 72 58516	0049 0 575670131	lsorganic@gmail.com	www.littlesmileorganic.com	2009				28-May-10		ltsrg	little.smile.lk@gmx.de			K. Shiran Laksitha Silva	Managing Director	lsorganic@gmail.com			Int.
Lofty Bamboo	868	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"G10 Buddy Hotel, 265 Khao San Road TALATYOT, Phranakorn"	Bangkok		Thailand	10200			66 026294716			toshi@loftybamboo.com		2014							info@loftybamboo.com			Toshinori Takasawa		takasabai@hotmail.com			MO
Lombok Pottery Centre (LPC)	342	GS SAR Due	FTO	Guaranteed	FFTI		Member	Paid 2018	Jalan Sriwijaya No. 111A	Mataram	"Lombok, N.T.B."	Indonesia	83231	English	12	62 370 640351	62 370 646552	62 370 640350	lpc_mkt@indo.net.id		2004				4-Nov-13		ptlom			0091 44 64572188	Ayu	Director	lpc_mkt@indo.net.id			PO
Mahaguthi Craft with Conscience	181	GS SAR Due	FTO	Guaranteed	FTGN		Member	Paid 2018	773/15 Dillibazar	Kathmandu		Nepal	GPO 13762	Nepalese	5	977 1 5011607	977 1 4425553		sguthi@mos.com.np	http://www.mahaguthi.org	2002				7-Nov-14	MAHAGU	mahagu	mguthi@mos.com.np		977 1 5011607	Sunil Chitrakar	Executive Director	sguthi@mos.com.np			PO
Maharani	995	GS SAR Due	FTO	Guaranteed	FFTI		Member	Pending	"Jl.  Tangkuban Perahu Gang Mertasedana 7  Kerobokan,"	Bali	Indonesia	Indonesia	maharanicraft@yahoo.com			62 36 173 0676			maharanicraft.bali@gmail.com	PO		6/30/16						maharanicraft@yahoo.com			Irene Setiawati	Director	maharanicraft.bali@gmail.com			PO
Mai Savanh Lao	512	GS SAR Due	FTO	Guaranteed			Member	Pending	BP 7710	Vientiane		Laos	BP 7710			856 21 812256		856 21 812256	info@maisavanhlao.org	http://www.maisavanhlao.org	2008				29-Apr-13		msvnhl	schmilao@yahoo.fr			Dr. Philippe Schmidt	CEO	schmilao@yahoo.fr			PO
Mai Vietnamese Handicrafts (MVH)	638	FTO PV Overdue	FTO				Member	Pending	"298 Nguyen Trong TuyenTan Binh Dist"	Ho Chi Minh		Vietnam	70000			84 8 38440988	84 8 339970340	84 8 39970341	maihandvn@gmail.com	www.maihandicrafts.com	2009			"On June 7, 2011. A complaint is made by COLL.PART (Switzerland)  to Mai Vietnamese Handicrafts; claiming that MVH had stolen/copied the product/handbags designs of COLL.PART. There is no legal contract therefore no case can be made. But COLL.PART has a do"	17-Sep-13		mvtnm	ngamyle@gmail.com			"Phuong, Nguyen Uyen"	Contact person	maihandvn@gmail.com			PO
Mandala Apparels	874	GS SAR Due	FTO	Guaranteed			Member	Pending	"No. 1 All India Press Compound, Kennedy Nagar, Pondicherry"	Pondicherry		India	605001			0413 2204532 	0413 2203573		anjali@mandalaapparels.com	www.caos.in	2014							sanskriti@mandalaapparels.com	devina.fairtrade@gmail.com		Anjali Schiavina	CEO	anjali@mandalaapparels.com			PO
Manushi	184	GS SAR Due	FTO	Guaranteed	FTGN		Member	Paid 2018	"Gyaneshwor, G.P.O. Box No: 11385Physical Address:4-Nakhu, Lalitpur"	Lalitpur		Nepal	44700	Nepalese		977 1 5553896	977 1 5552997	9771 4412 680	manushi@mail.com.np	www.manushi.org.np (old: http://www.manushinepal.org/)	2003				26-Feb-13	MANUSH	manush	manushi@ntc.net.np		977 1 5534660	Padmasana Shakya	Executive Chairperson	manushi@mail.com.np			PO/Int.
Maroma	786	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	"Aspiration, Auroville 605 101, Tamilnadu"	Auroville		India	605101		8	91 413 2622126		91 0413 2622217	paul@maroma.com	www.maroma.com	2012			"special case, alignment member from WFTOA (using SAR), when approve, directly becomes registered member."	22-Apr-13			maroma@maroma.com	maroma@auroville.org.in		Laura Reddy	CEO	laura@maroma.com			PO
Maximus	881	FTO Audit Due	FTO				Member	Paid 2018	"329, Dam Street Colombo 12"	Colombo		Sri Lanka	0.0012			94 717789900			md@ecomaximus.com	www.ecomaximus.com	2014							design@ecomaximus.com	wasantha@edb.gov.lk		Thusitha Ranasinghe	Managing Director	md@ecomaximus.com			PO
Maya Organic	398	GS SAR Due	FTO	Guaranteed	FTFI		Member	Pending	"No.1580, behind azeez complexSathnur road"	Karnataka	Karnataka	India	562160	English	8	91 080 27252711			shahida@mayaorganic.com	www.mayaorganic.com	2008				7-Oct-13		mayaor	subbarao@mayaorganic.com	getinfo@mayaorganic.com		Shaheda Bano	Project Coordinator	shahida@mayaorganic.com			Int.
Mehera Shaw	1047	Provisional SAR Due	FTO				Provisional	Paid 2018	"H 61/A Meera Marg, Bani Park, Jaipur 302016"	Jaipur	India	India	shari@meherashaw.com			91 141 410 1636			shari@meherashaw.com	PO		4/5/17						info@meherashaw.com			Shari Keller	Director	shari@meherashaw.com			PO
Mereville Trust	197	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	"Udyogam, Tamil Nadu"	Auroville		India	605101	"Tamil, Hindi, English, Spanish, Catalan"	8	91 0 413 2622652	91 0 413 2622898	91 413 2622898	mereville@auroville.org.in	www.merevilletrust.com; www.auroville.com	2004				16-Jan-14	MTRUST	mtrust	prataprachana@auroville.org.in	avmerevilletrust@gmail.com		Pratap Chatterjee	Managing Trustee	prataprachana@auroville.org.com			PO
MESH (Maximizing Employment to Serve the Handicapped)	614	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	"5, Local Shopping Centre, Udai Park"	New Delhi		India	110 049			91 11 26965039	91 11 26568048		mathewkk@mesh.org.in	http://www.mesh.org.in/	2009				26-Apr-13		mxmzng	contact@mesh.org.in	jackybonney@mesh.org.in		Mathew KK		producerdevelopment@mesh.org.in			Int.
Mitra Bali Fair Trade	194	GS SAR Due	FTO	Guaranteed	FFTI		Member	Paid 2018	"Jalan Gunung Abang,Banjar Lod Sema,Desa Lod Tunduh"	Ubud		Indonesia	80571	Bahasa		62 361 295010		62 361 295616	marketing@mitrabali.com	http://www.mitrabali.com	2000		Website: www.mitrabali.com	We have a Fair Trade shop in the Gianyar district.	19-Mar-13	MITRAB	mitrab				Agung Alit	Director	agungalit@mitrabali.com			Int.
MKS Export Ltd. (MKS)/ Former Madhya Kalikata Shilpangan	179	GS SAR Due	FTO	Guaranteed			Member	Pending	"314, Bora khola, Mukundapur"	Kolkata		India	700 099			91 33 2426 4872	91 33 2426 4873		mithudam@dataone.in	http://www.shilpanganindia.org and www.catgen.com/mks	1997				9-Oct-08	MADHYA	madhya			91 33 2426 4874	Mithu Dam	Secretary	mithudam@dataone.in			Int.
Naturveda Biotech	560	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"20, Nila Street, Vasanth Nagar, Muthialpet"	Pondicherry	Pondicherry	India	605003	English	8	91 0413 2211164			naturveda@gmail.com	www.bionaturveda.com	2007				18-Mar-13		ntbio				A. Alphonse	Director	naturveda@gmail.com			PO
Nepal Leprosy Trust	543	FTO PV Overdue	FTO		FTGN		Provisional	Paid 2018	"Tutepani, Satdobato, Laltipur-14 PO BOX NO 96"	Kathmandu		Nepal	PO Box 96	English	5	977 1 5521622 / 5151322	977 1 5523322	977 1 5523322	nlt@mail.com.np	www.nepalleprosytrust.org	2007				13-Mar-13		neplet	knshrestha@mail.com.np			Kamal Shrestha	Chief Executive	nlt@mail.com.np			PO/Int.
New Skill and Development Learning Experience (New SADLE)	837	GS SAR Due	FTO	Guaranteed	FTGN		Member	Paid 2018	"Baikunthapuri, Kapan-6, Kathmandu"	Kathmandu		Nepal	"8973, NPC-610"			97 7 1 4820680			nepraev@wlink.com.np	www.newsadle.com.np	2014				15-Apr-13						Chitra Bahadur KC		chitrakc2@hotmail.com			PO
Noah's Ark International Exports	208	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	"OPP. Q. No. 307, Railway Harthala Colony"	Moradabad		India	244001	Hindi		0091 591 2431883/ 2431885		0091 591 2430244	export@noahsindia.com	http://www.noahsindia.com/	2002				18-Feb-13	NOAARK	noaark	noahsarksamuel@gmail.com	samuelmasih@noahsindia.com		Samuel Masih	General Manager	noahsarksamuel@gmail.com			Int.
Oasis Transformation	899	GS SAR Due	FTO	Guaranteed	ECOTA		Member	Paid 2018	"House 408/10 Road 7 Bandhara, DOHS, 1206"	Dhaka		Bangladesh	1206			88 01777750741			helena.sanabam@oasistransformation.com	http://www.oasiscoffins.com/								md.kamrul@oasistransformation.com	david.how@oasiscoffins.com	mark.wakeling@oasiscoffins.com	Helena Sanabam	Impact Executive	helena.sanabam@oasistransformation.com			PO
One Planet Cafe Ltd	861	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	Shiba Park 2-11-13-1101 Minatoku Tokyo 105-0011	Tokyo		Japan				81 3 5776-6228			peo@oneplanetcafe.com									satoko@oneplanetcafe.com			Mr Peo Ekberg	Director	peo@oneplanetcafe.com			PO
Oxfam Hong Kong	499	FTN in GS	FTN				Member	Paid 2018	"17/F, China United Centre28 Marble Road"	North Point		Hong Kong				852 2520 2525		852 2527 6307	stanley.so@oxfam.org.hk	www.oxfam.org.hk	2007				26-Feb-14			Kanie@oxfam.org.hk	ds@oxfam.org.hk		Stanley Pui Kin So	Contact Person	meanna.yeung@oxfam.org.hk	$ DUE		MO
Panay Fair Trade Center	222	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"Sitio Manue, Tagbac Sur, Oton"	Iloilo		Philippines	5020	English	6	033 3363911		0063 33 336 9611	gingerbanana2015@gmail.com	no website	1999				4-Feb-13	PANAYF	panayf	myorg.project@yahoo.com	"panayfairtradecenter@yahoo.com, csodev2011@gmail.com"		Angel Panganiban	Manager	angel.musco@yahoo.com			Int.
Paper Art Viet Company Limited	1004	Provisional SAR Due	FTO				Provisional	Paid 2018	"16 DHT17 street, Dong Hung Thuan Ward, District 12th"	Ho Chi Min City	Vietnam	Vietnam	tai.pham@paperartviet.com	khoa.tran@paperartviet.com 	care@paperartviet.com	84 8 3718 6649			tai.pham@paperartviet.com	PO		8/4/16						khoa.tran@paperartviet.com 			Tuan Tai Tran 	Marketing Staff	tai.pham@paperartviet.com			PO
Pebble Hathay Bunano Proshikon Society	859	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"1509, Solmaid, Badda, Dhaka-1212."	Dhaka		Bangladesh	 1212	 Bengali/ English	 BDT	88 29886083			hathaybunano@gmail.com	 www.pebblechild.com	2005							samanthamorshed@hotmail.com	acc.hathaybunano@gmail.com		Samantha Morshed	CEO	samanthamorshed@hotmail.com			PO/Int.
People Tree Japan	128	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"3F, 5-1-16 Okusawa, Setagaya-ku, Tokyo 158-0083"	Tokyo		Japan				81-3-5731-6671			ntanemori@peopletree.co.jp									JMinney@peopletree.co.jp 			Naoko Tanemori	Managing Director	ntanemori@peopletree.co.jp			PO
People's Organization For Development Import and Export (PODIE)	229	FTO Audit Overdue	FTO				Member	Pending	"197/7 Pardre Pio Mawatha, Off Thaladuwa Road"	Negombo	Western Province	Sri Lanka		English		94 31 2233773	0777 277 147	94 31 2233 774	tyrell@sltnet.lk	http://www.podiespice.com/aboutus.htm	1998				12-Jul-13	PODIEX	podiex	podie@sltnet.lk			Tyrell Fernando		tyrell@sltnet.lk			Int.
Phonthong Handicrafts Cooperative and Cama Crafts	226	FTO PV Overdue	FTO				Member	Pending	"Phontong Rd., Phontong Village"	Vientiane		Laos	PO Box 4556			856 21 212668		856 021 560598	et@camacrafts.org	http://www.camacrafts.org/	1998			"Second address:PO Box 90Nongkhai 43000Thailand"	13-Jun-12	PHONTO	phonto	snider.nafziger@gmail.com	phontong@gmail.com		Thepsulinthone Vannalath		baker.sarahnicole@gmail.com			PO
Polle Unnoyn Prokolpo (PUP)	230	FTO PV Overdue	FTO		ECOTA		Member	Pending	"""Khanik Niloy"" Chalklokman"	Bogra		Bangladesh	5800	Bengali		88 01711 302470			pupbogra@gmail.com	www.pupbd.org	1999			Palm Fiber products	21-Oct-13	POLLEP	pollep	mashruqulhasan@gmail.com		88 051 65703	Sk. Md. Abu Hassanat	Chief Co-ordinator	pupbogra@gmail.com			PO/Int.
Prokritee	860	GS SAR Due	FTO	Guaranteed	ECOTA		Member	Paid 2018	"House 1/1, Asadgate Road Block A Mohammadpur"	Dhaka		Bangladesh				0088 02 5815 3405			swapan@prokritee.com	http://www.prokritee.com/	2014							suraiya@prokritee.com	elizabeth@prokritee.com		Swapan Kumar Das	Executive Director	angela@prokritee.com			PO/Int.
Purnaa Enterprises	988	GS SAR Due	FTO	Guaranteed	FTGN		Member	Paid 2018	"Plot 512, 2nd Floor Abas Chowk, Bhaisipati"	Kathmandu		Nepal				977-1-5593094			richard@purnaa.com									info@purnaa.com			Richard Faber		richard@purnaa.com			PO
Pushpanjali	594	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	"35, Hanuman Nagar, Shahganj"	Agra	Uttar Pradesh	India	282010	"English, Indi, Urdu"	8	91 562 2511930		91 562 2511930	pft@pushpanjali.in	www.pushpanjali.in	2008			"Provides Tourism Services– Visit to historical places, Villages and producers"	22-Oct-13		pshpnjl	pushpanjalifairtrade@gmail.com			Anurag Mittal	CEO	pft@pushpanjali.in			PO
Rajana Association	1074	Provisional SAR Due	FTO		AAC		Provisional	Paid 2018	"Shop # 61C, St.450 , Toul Tom Pong Market ( Russian Market) "	Phnom Penh	Phnom Penh	Cambodia	Cambodia			855 23 993 642 / 855 12 789 350			nimulnhok@gmail.com 	nimulnhok@gmail.com 	Nimul Nhok	General Manager 		nimulnhok@gmail.com 							Nimul Nhok	General Manager	nimulnhok@gmail.com 			PO
Rian Impex	4344	Provisional SAR Due	FTO				Provisional	Pending	"92 Hassanabad, Rianawari 19003"	Srinagar Kashmir	Srinagar Kashmir	India	India	rianimpex@gmail.com		9.11942E+11			rianimpex@gmail.com	rianimpex@gmail.com	PO	1/11/18									Ali Mohammad	General Manager	rianimpex@gmail.com			PO
Sabala	838	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	"Samatha Building, Keertinagar, B. Bagewadi Road, Bijapur"	Bijapur		India	586101			91 - 8352 - 278204			mallamma2005@hotmail.com		2014				3-May-13			sabala2000@hotmail.com	sabalahandicrafts@gmail.com		Mallamma S. Yalawar	CEO	mallamma2005@hotmail.com			PO
Sadhna	795	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	"C/o Seva Mandir, Old Fatehpura, Udaipur"	Udaipur		India	313004	English	8	0294 2454655		0294 2450947	seema@sadhna.org	www.sadhna.org	2012			when paid they are directly Registered Member - special case alignment Asia	20-Jul-12			sadhna@sadhna.org	leela@sadhna.org		Seema Shah	Chief Executive	leela@sadhna.org			PO
SAFFY	250	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"2594 Lamayan Street, Sta Ana"	Manila		Philippines	1009	English		63 2 564 4169	63 2 563 7251	63 2 563 4632	saffy@saffyinc.com	www.saffyinc.com	1998				22-Oct-13	SAFRUD	safrud	finad@saffyinc.com	materials@saffyinc.com	632 561 0395	Lenie Fabellon	General Manager	generalmanager@saffyinc.com			Int.
Saidpur Enterprise	864	GS SAR Due	FTO	Guaranteed	ECOTA		Member	Paid 2018	Islambagh near chinimasjid Saidpur	Saidpur		Bangladesh				1715235042			ghayasse@gmail.com		2014										M. Ghayassuddin		ghayasse@gmail.com			PO/Int.
Salay Handmade Products Industries	252	FTO Audit Due	FTO				Member	Paid 2018	"Purok 1, National Highway, 9007 Poblacion"	Salay	Misamis Oriental	Philippines		English	6	63 88 583 0605	63 917 716 7594	63 88 227 10135	loreta@salayhandmade.com	http://www.salayhandmade.com/	2002		Our website: www.salayhandmade.com	Added to the existing programs of the SHAPII Foundation which is the social arm of sHAPII is te development of IT in the rural area. In January 2002 SHAPII Foundation Computer Services opened with the vision to provide IT to qualify rural people in the pr	18-Feb-14	SALAYP	salayp	finance@salayhandmade.com	salaycentral@salayhandmade.com	63 939 9229649	Loreta C. Rafisura	President	loreta@salayhandmade.com			PO
Sana Hastakala	255	GS SAR Due	FTO	Guaranteed	FTGN		Member	Paid 2018	"Kopundole - 10Lalitpur, Opposite Hotel Himalaya"	Kathmandu		Nepal	G.P.O. Box 9701	Nepalese	5	977 1 5522628	977 1 5555837	977 1 5526985	sanahast@wlink.com.np	www.sanahastakala.com	2003				7-Nov-14	SANAHA	sanaha	chandra@sanahast.wlink.com.np			Chandra Prasad Kachhipati	Executive Director	chandra@sanahast.wlink.com.np			PO
Saoban Handcrafts	1049	Provisional SAR Due	FTO				Provisional	Pending	"97/1 Ban Watchan, Chao Anou Road, Chanthabuly District, 0101"	Vientiane	Laos	Laos	1207			856 21 241835			shuimeng@gmail.com									seokham@saobancrafts.com	seokham.kmnv@gmail.com		Shui Meng Ng	Director	shuimeng@gmail.com			PO
Sasha Exports	258	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	"1C,Chatu Babu Lane"	Kolkata	West Bengal	India	700 014	Hindi & Bengali	8	91 33 22659761	91 33 22659776		sashaexport@vsnl.net	www.sashaworld.com	1998				24-May-12	SASHAX	sashax	sashaindia@vsnl.net		91 33 22494397	Roopa Mehta		roopa.mehta@sashaworld.com			Int.
Selective Designs	875	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"number 303/2, Sri Vijaya Mawatha, "	Bokundara	Piliyandala	Sri Lanka				94 011 2708248		94 011 2708393	nishan@selectivedesigns.biz	http://www.selectivedesigns.biz/	2014				9-Jul-14			info@selectivedesigns.biz			Nishan Dissanayaka	Managing Director	nishan@selectivedesigns.biz			PO
Self Help Association for Rural Education & Employment (SHARE)	266	FTO	FTSO		Extended Deadline		Member	Paid 2018	"Christine Mathews Memorial Complex, TB Sanatorium Post, 2, Mettupalayam"	Vellore	Tamil Nadu	India	632 011	Tamil		"91 94 43 227452, 96 29794712"	91 416 2264018	"91 416 2232490, 2230303"	craftswomen7@yahoo.com	shareforneedy.org	1998			"See email 26/03/2011Due  to some Taxation problem, the functioning mode of SHARE  has been changed. In order to remove the Tax problem, the decision has been taken in the following manner with the advise of our Auditors and Experts.Ø To do  the Market"	10-Feb-14	SHAREI	sharei	sharevellore@gmail.com	magalpoocharam@yahoo.com	91 416 2264667	K. Murugesan	Project Director	murugesan7in@yahoo.com			NTO
Selyn Exporters	540	GS SAR Due	FTO	Guaranteed		"Rice & Carry, Brigby's, Lanka Upcycles & FB goods desing"	Member	Paid 2018	"87, Kandy Road"	Kurunegala		Sri Lanka	60000			94 714 728551	94 714 433214	94 37 222 4016	Selyna@selyn.lk	www.selyn.lk	2007				22-Oct-13		selyne	visitselyn@gmail.com	sandra@selyn.lk	94 37 2232078	Sandra Beverly Wanduragala	CEO	sandra@selyn.lk	WON A PRIZE = OFF THE HOOK GOOD		PO/Int.
SETU	865	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	"92-93, Wrindavan Vihar, DCM, Ajmer Road"	Jaipur Rajasthan		India	302019	"English, Hindi"		91 98293 97229			info@setufairtrade.com	www.setufairtrade.com	2014							rashmi@setufairtrade.com			Rashmi Dharlwal	CEO	rashmi@setufairtrade.com			Int.
Shilpa Trust	268	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	"1317, 5th Main, 5th Cross, Prakash Nagar Karnataka"	Bangalore	PrakashNagar	India	560021	English	8	9844113563	32 900386		shilpatrust1992@gmail.com	https://www.facebook.com/#!/shilpatrust	1998		Our products can be seen on our website: www.catgen.com/shilpa and also SIPA's website: www.sipacrafts.com	The halewood resources used by SHIPA are managed sustainably.	21-Feb-13	SHILPA	shilpa			080 32900386	M. Bhupathy	Managing Trustee	kalakushala@gmail.com			PO
Shishu Polli Plus (SPP)	855	GS SAR Due	FTSO	Guaranteed	ECOTA		Member	Paid 2018	"Tengra, Sreepur, "	Gazipur		Bangladesh	1700			11 99850145			humayun.kabir@sppbd.org	www.thereepurvillage.org	2014							info@sppbd.org			Humayun Kabir	Pat Kerr 	pavkerr@hotmail.com			PO
Silence	273	GS SAR Due	FTO	Guaranteed	FTFI		Member	Pending	2 / 1 A Monoharpukur 2nd Lane	Kolkata		India	700 029			91 33 473 0269		91 33 413 1976	silence@vsnl.net	http://www.silence-india.org/activities.htm	1998				12-Jul-13	SILENC	silenc	silence@cal.vsnl.net.in	samirray@hotmail.com		Samir Ray	Secretary	silence@vsnl.net			PO
Sisters' Threads	1065	Provisional SAR Due	FTO				Provisional	Pending	"Down Qingshui Village, Qingshui Township, Mentougou District"	Beijing	Beijing	China	China	1418253268@qq.com	chenxuan0324@sina.com	8.61369E+12			chenxuan0324@sina.com	chenxuan0324@sina.com		6/23/17						bing.tang@fairtree.cn				CHEN Liangjing	bing.tang@fairtree.cn			PO
Soap-n-Scent	919	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	327/9 Soi Srijundorn 2 Jaroenprated Rd.	Chiang Mai		Thailand				66 53 820115			info@soap-n-scent.com	soap-n-scent.com											Pimarn Tovanabootr		info@soap-n-scent.com			PO
Sundarban Khadi and Village Ind Society (SKVIS)	284	FTO PV Overdue	FTO		FTFI		Provisional	Pending	Vil & PO champahati	Parganas	West Bengal	India	743329			91 32 18 260435	91 32 18 261465	91 32 18 260435	shephali.skvis2009@gmail.com	no website	1997				20-Aug-13	SUKHVI	sukhvi	anima.skvis@gmail.com			Shephali Roy	Export Manager	shephali.skvis2009@gmail.com			PO
Tamas Society	982	Provisional SAR Due	FTSO				Provisional	Pending	"6B, Rajani Bhattacharjee Lane, Kolkata"	Kolkata	India	India				033-6501 0494			tamassociety@gmail.com  	2014								ceo@tamassociety.com			GAJI LAL SAHA	CEO	tamassociety@gmail.com  			PO
Tara Projects	293	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	"260, Okhla Industrial Estate, Phase III"	New Delhi		India	110020	Hindi		91 11 26839721	91 11 26918037	91 11 2683 8885	tara@taraprojects.com	www.taraprojects.com	1998		"Our published literature is mostly on Child Labour issues. We have two booklets and some survey reports from different producers' groups published, for further information visit or websites: www.taraprojects.com and www.peoplink.org/tara"	"Other activites of the projects include: awareness meetings, poster campaigns, rallies against child labour, workshops of social issues, street plays, adult literacy classes, e-commerce assistance, non-formal education for children, women's vocational pro"	28-Feb-14	TARAPR	tarapr	info@taraprojects.com		91 11 64729878	Moon Sharma		taraprojects@spectranet.com			PO
Tashinda	992	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"Jl. Bibis Ds.Kulon Gangin, Taman Tirto, Kasihan, Bantul, "	Yogyakarta		Indonesia				62 -274- 4342218 			cvtashinda@indo.net.id												Johni Sahlan	Director	cvtashinda@indo.net.id			PO
